Instance,Min
t1_0001,8944
t1_0002,8135
t1_0003,7739
t1_0004,8036
t1_0005,8684
t1_0006,8310
t1_0007,11850
t1_0008,8415
t1_0009,6518
t1_0010,11203
t1_0011,8529
t1_0012,9473
t1_0013,7526
t1_0014,11386
t1_0015,9407
t1_0016,7900
t1_0017,9191
t1_0018,10983
t1_0019,8250
t1_0020,9627
t1_0021,8423
t1_0022,9643
t1_0023,10299
t1_0024,8044
t1_0025,7717
t1_0026,9262
t1_0027,10170
t1_0028,7916
t1_0029,8434
t1_0030,8565
t1_0031,10129
t1_0032,10995
t1_0033,9133
t1_0034,10553
t1_0035,10820
t1_0036,10615
t1_0037,10592
t1_0038,9846
t1_0039,10789
t1_0040,11726
t1_0041,10455
t1_0042,10043
t1_0043,11339
t1_0044,9489
t1_0045,11362
t1_0046,9962
t1_0047,10661
t1_0048,10732
t1_0049,11182
t1_0050,10814
t1_0051,10511
t1_0052,9533
t1_0053,10927
t1_0054,10642
t1_0055,9769
t1_0056,9363
t1_0057,11322
t1_0058,10555
t1_0059,10629
t1_0060,9473
t1_0061,11426
t1_0062,10896
t1_0063,12261
t1_0064,11771
t1_0065,10576
t1_0066,11463
t1_0067,11943
t1_0068,11471
t1_0069,11877
t1_0070,12101
t1_0071,10477
t1_0072,12725
t1_0073,10222
t1_0074,11180
t1_0075,10781
t1_0076,12362
t1_0077,11364
t1_0078,12113
t1_0079,11834
t1_0080,11973
t1_0081,10738
t1_0082,11058
t1_0083,11293
t1_0084,11278
t1_0085,10989
t1_0086,12040
t1_0087,12143
t1_0088,12360
t1_0089,11385
t1_0090,10935
t1_0091,12753
t1_0092,12500
t1_0093,12134
t1_0094,12237
t1_0095,12616
t1_0096,12075
t1_0097,12030
t1_0098,12332
t1_0099,12466
t1_0100,12190
t1_0101,12003
t1_0102,12071
t1_0103,11818
t1_0104,13196
t1_0105,12538
t1_0106,13080
t1_0107,14268
t1_0108,12252
t1_0109,12433
t1_0110,12282
t1_0111,12187
t1_0112,11855
t1_0113,11904
t1_0114,12028
t1_0115,12800
t1_0116,11464
t1_0117,11694
t1_0118,11844
t1_0119,13039
t1_0120,11971
t1_0121,52225
t1_0122,50387
t1_0123,51260
t1_0124,50741
t1_0125,54172
t1_0126,51953
t1_0127,58992
t1_0128,54703
t1_0129,51694
t1_0130,54158
t1_0131,59346
t1_0132,57428
t1_0133,49476
t1_0134,48823
t1_0135,52589
t1_0136,49050
t1_0137,48930
t1_0138,59245
t1_0139,46913
t1_0140,50378
t1_0141,49608
t1_0142,44179
t1_0143,48912
t1_0144,55137
t1_0145,57620
t1_0146,50751
t1_0147,47555
t1_0148,50738
t1_0149,46640
t1_0150,55840
t1_0151,60235
t1_0152,59041
t1_0153,55151
t1_0154,60298
t1_0155,56343
t1_0156,59189
t1_0157,60269
t1_0158,56265
t1_0159,59280
t1_0160,58153
t1_0161,63535
t1_0162,57664
t1_0163,58301
t1_0164,59736
t1_0165,56953
t1_0166,60797
t1_0167,59600
t1_0168,61023
t1_0169,60645
t1_0170,59338
t1_0171,57141
t1_0172,54609
t1_0173,58219
t1_0174,57521
t1_0175,54921
t1_0176,58372
t1_0177,59319
t1_0178,63082
t1_0179,58756
t1_0180,60471
t1_0181,65331
t1_0182,64370
t1_0183,66188
t1_0184,62171
t1_0185,62520
t1_0186,64038
t1_0187,62357
t1_0188,66157
t1_0189,60169
t1_0190,60402
t1_0191,60701
t1_0192,61060
t1_0193,68004
t1_0194,63339
t1_0195,61348
t1_0196,65447
t1_0197,64807
t1_0198,65551
t1_0199,62558
t1_0200,66585
t1_0201,60507
t1_0202,61775
t1_0203,65512
t1_0204,64845
t1_0205,62371
t1_0206,67767
t1_0207,65888
t1_0208,66441
t1_0209,66820
t1_0210,63873
t1_0211,63196
t1_0212,67941
t1_0213,67032
t1_0214,67805
t1_0215,65442
t1_0216,68676
t1_0217,68085
t1_0218,66614
t1_0219,70435
t1_0220,64867
t1_0221,67184
t1_0222,69388
t1_0223,64344
t1_0224,65924
t1_0225,67103
t1_0226,66468
t1_0227,68729
t1_0228,67560
t1_0229,64385
t1_0230,69117
t1_0231,68551
t1_0232,67997
t1_0233,67700
t1_0234,66799
t1_0235,65962
t1_0236,63894
