Instance,Min
t1s_0001,663
t1s_0002,660
t1s_0003,776
t1s_0004,697
t1s_0005,706
t1s_0006,646
t1s_0007,712
t1s_0008,582
t1s_0009,853
t1s_0010,753
t1s_0011,895
t1s_0012,923
t1s_0013,881
t1s_0014,848
t1s_0015,853
t1s_0016,631
t1s_0017,630
t1s_0018,660
t1s_0019,1203
t1s_0020,1039
t1s_0021,803
t1s_0022,747
t1s_0023,511
t1s_0024,904
t1s_0025,726
t1s_0026,876
t1s_0027,794
t1s_0028,860
t1s_0029,603
t1s_0030,761
t1s_0031,908
t1s_0032,926
t1s_0033,994
t1s_0034,897
t1s_0035,1082
t1s_0036,955
t1s_0037,912
t1s_0038,1117
t1s_0039,1005
t1s_0040,1214
t1s_0041,966
t1s_0042,1005
t1s_0043,699
t1s_0044,1003
t1s_0045,921
t1s_0046,904
t1s_0047,1075
t1s_0048,851
t1s_0049,917
t1s_0050,1026
t1s_0051,1063
t1s_0052,1078
t1s_0053,844
t1s_0054,868
t1s_0055,860
t1s_0056,999
t1s_0057,985
t1s_0058,1108
t1s_0059,991
t1s_0060,1041
t1s_0061,1013
t1s_0062,1014
t1s_0063,918
t1s_0064,944
t1s_0065,1072
t1s_0066,1042
t1s_0067,1100
t1s_0068,1083
t1s_0069,1036
t1s_0070,1030
t1s_0071,1004
t1s_0072,1016
t1s_0073,1121
t1s_0074,1149
t1s_0075,946
t1s_0076,1194
t1s_0077,1119
t1s_0078,1020
t1s_0079,1005
t1s_0080,1041
t1s_0081,1096
t1s_0082,1012
t1s_0083,1046
t1s_0084,1028
t1s_0085,953
t1s_0086,1158
t1s_0087,1067
t1s_0088,960
t1s_0089,1050
t1s_0090,1313
t1s_0091,1014
t1s_0092,1154
t1s_0093,1167
t1s_0094,1146
t1s_0095,1107
t1s_0096,1136
t1s_0097,1207
t1s_0098,1214
t1s_0099,962
t1s_0100,1087
t1s_0101,1068
t1s_0102,1109
t1s_0103,1159
t1s_0104,1135
t1s_0105,913
t1s_0106,1040
t1s_0107,1102
t1s_0108,1206
t1s_0109,1171
t1s_0110,1144
t1s_0111,1070
t1s_0112,1138
t1s_0113,1051
t1s_0114,1089
t1s_0115,1152
t1s_0116,1201
t1s_0117,1144
t1s_0118,1137
t1s_0119,1064
t1s_0120,1111
t1s_0121,2651
t1s_0122,2516
t1s_0123,2647
t1s_0124,2284
t1s_0125,3331
t1s_0126,2623
t1s_0127,3065
t1s_0128,2630
t1s_0129,2412
t1s_0130,2094
t1s_0131,2280
t1s_0132,2862
t1s_0133,3424
t1s_0134,2101
t1s_0135,2630
t1s_0136,2228
t1s_0137,2571
t1s_0138,1995
t1s_0139,2862
t1s_0140,1954
t1s_0141,2561
t1s_0142,2846
t1s_0143,2252
t1s_0144,1766
t1s_0145,2111
t1s_0146,2236
t1s_0147,2955
t1s_0148,2364
t1s_0149,2876
t1s_0150,2268
t1s_0151,2933
t1s_0152,3331
t1s_0153,3255
t1s_0154,2899
t1s_0155,3744
t1s_0156,2470
t1s_0157,3528
t1s_0158,3029
t1s_0159,3075
t1s_0160,2666
t1s_0161,2797
